,City,ID,Humidity,Longitude,Latitude,Temperature (F),Cloudiness,Wind Speed
114,Severo-Kuril'sk,2121385,85,156.12,50.68,50.31,100,2.89
116,Saint-Philippe,935215,68,55.77,-21.36,61.09,45,8.05
117,Ciudad Bolivar,3645532,76,-63.55,8.12,81.25,54,9.31
118,San Andrés,3670218,79,-81.7,12.58,86,40,8.05
119,Ostrovnoy,556268,87,39.51,68.05,43.99,79,3.67
120,Ondjiva,3346821,36,15.73,-17.07,52.12,0,5.21
121,Lázaro Cárdenas,4026082,70,-102.2,17.96,84.45,11,6.38
122,Casino,2172153,47,153.05,-28.87,56.57,0,12.75
123,Tchaourou,2391377,97,2.6,8.89,70.99,54,8.75
124,Kavieng,2094342,74,150.8,-2.57,83.14,100,9.17
125,Tatarsk,1490003,92,75.98,55.22,65.64,19,6.46
126,Barrow,5880054,80,-156.79,71.29,39.2,90,11.41
127,Longyearbyen,2729907,70,15.64,78.22,48.2,75,3.36
128,Kumul,1529484,30,93.45,42.8,74.75,0,8.08
129,Thompson,6165406,93,-97.86,55.74,62.6,75,4.7
130,Fairbanks,5861897,68,-147.72,64.84,61.34,75,13.87
131,Souillac,933995,88,57.52,-20.52,69.8,40,5.82
132,Yatou,1786855,74,122.38,37.15,70.9,69,11.63
133,Port Alfred,964432,45,26.89,-33.59,55.72,26,26.15
134,Avarua,4035715,60,-159.78,-21.21,71.6,90,13.87
135,Seymchan,2121373,67,152.43,62.88,69.3,85,2.55
136,Arlit,2447513,23,7.39,18.74,95.23,100,5.14
137,Río Gallegos,3838859,95,-69.22,-51.62,33.8,75,11.41
138,Vágur,2610806,93,-6.81,61.47,51.46,71,12.3
139,Viedma,3832899,66,-63,-40.81,41.83,0,14.16
140,Beringovskiy,2126710,88,179.32,63.05,50.68,100,3.83
141,Virovitica,3187694,89,17.38,45.83,54,36,3.71
142,Lubango,3347762,35,13.49,-14.92,55.26,0,4.88
143,Cape Town,3369157,76,18.42,-33.93,50.04,75,8.05
144,Thinadhoo,1337610,71,72.93,0.53,84.69,48,8.55
145,São Miguel do Araguaia,3448455,38,-50.16,-13.28,75.34,0,3.49
146,Quelimane,1028434,82,36.89,-17.88,65.19,0,2.51
147,Puerto Quijarro,3444201,52,-57.77,-17.78,79.45,12,1.7
148,General Pico,3855075,62,-63.76,-35.66,38.82,0,3.78
149,Ribeira Grande,3372707,82,-28.7,38.52,68.68,5,13.53
150,Lodja,211647,90,23.43,-3.48,71.31,96,3.42
152,Forsytheganj,10722858,92,29.73,52.63,50.23,12,9.4
153,Antofagasta,3899539,76,-70.4,-23.65,55.4,0,5.82
154,São João da Barra,3448903,79,-41.05,-21.64,72.27,5,7.11
155,Muscatine,4868410,51,-91.13,41.47,82.63,40,10.29
156,Klaksvík,2618795,100,-6.59,62.23,50,99,5.82
157,Griffith,4920986,50,-87.42,41.53,77.68,1,6.93
158,Vardø,777019,93,31.11,70.37,44.6,75,13.87
159,Quatre Cocos,1106643,88,57.76,-20.21,70.43,40,5.82
161,Muli,1337617,70,73.57,2.92,84.06,45,7.49
162,Vostok,2013279,97,135.88,46.49,65.32,55,3.53
163,Kita,2455216,90,-9.49,13.03,72.37,100,1.7
164,Lethem,3379316,80,-59.8,3.38,77.67,31,4.12
165,Santa Isabel Rio Negro,3662489,81,-65.02,-0.41,76.69,12,1.45
166,Havøysund,779622,87,24.66,71,46.4,0,11.41
167,Sioux Lookout,6148373,47,-91.92,50.1,78.8,90,17.22
168,Laguna,5364271,27,-121.42,38.42,92.7,1,13.87
170,Kristianstad,2699310,100,14.15,56.03,47.82,8,1.12
171,Along,1278969,87,94.77,28.17,74.12,90,1.41
172,Sri Aman,1735799,100,111.46,1.24,73.2,100,0.92
173,Saint George,5546220,10,-113.58,37.1,106.43,1,17.22
174,Pinawa,6104820,98,-95.88,50.15,61.43,100,5.37
175,Labuhan,8079926,85,112.21,-6.88,76.71,1,7.58
176,Carnarvon,2074865,100,113.63,-24.87,60.8,40,6.93
177,Atar,2381334,13,-13.05,20.52,96.17,6,5.82
178,Isangel,2136825,78,169.27,-19.55,77,40,4.7
179,Ghanzi,933759,62,21.78,-21.57,41.47,0,2.98
180,Comodoro Rivadavia,3860443,59,-67.5,-45.87,35.6,0,8.05
181,Vaini,4032243,73,-175.2,-21.2,75.2,40,10.29
182,Nelipyno,700341,97,23.03,48.56,39.99,0,13
184,Gwembe,917011,67,27.61,-16.5,53.24,0,0.78
185,San Quintín,3984997,59,-115.95,30.48,75.97,1,13.15
186,Panzhihua,6929460,81,101.71,26.59,71.87,100,0.81
187,Hong Kong,1819729,79,114.16,22.29,85.95,5,8.99
188,Il’inskiy,557140,93,38.12,55.62,62.73,40,8.95
189,Shingū,1847947,100,135.98,33.73,77,75,11.41
190,Lábrea,3663684,83,-64.8,-7.26,76.68,83,1.54
193,Maniitsoq,3421982,81,-52.9,65.42,44.47,0,21.07
194,Pascagoula,4440397,83,-88.56,30.37,82.44,1,3.36
195,Kushima,1895695,66,131.23,31.46,80.85,75,18.34
196,Monroe,5127305,56,-77.68,43.15,73.62,40,9.17
197,Paamiut,3421193,85,-49.67,61.99,43.09,0,4.63
198,Manta,3654410,87,-80.73,-0.95,70.09,72,14.09
199,Bāglung,1283711,75,83.59,28.27,69.93,64,2.35
200,Maturin,3778045,94,-63.18,9.75,76.57,99,5.19
201,Praia da Vitória,3372760,73,-27.07,38.73,69.8,40,10.33
203,Sakakah,102527,13,40.21,29.97,89.6,0,9.17
204,Lebu,3883457,76,-73.65,-37.62,48.16,0,3.27
206,Marsá Maţrūḩ,352733,78,27.25,31.35,75.2,0,5.82
207,Losevo,534073,94,40.05,50.68,66.69,96,9.71
208,Cabo San Lucas,3985710,58,-109.91,22.89,89.58,5,11.41
209,Carutapera,3402648,93,-46.02,-1.2,74.91,34,5.91
210,Oussouye,2246901,88,-16.55,12.48,80.6,40,6.93
211,Roebourne,2062276,37,117.13,-20.78,69.24,5,10.65
212,Yurimaguas,3690654,89,-76.08,-5.9,74.95,86,0.78
213,Saldanha,3361934,81,17.94,-33.01,50,68,4.7
214,Vao,2137773,76,167.48,-22.67,72.81,100,14.72
215,Barra de Tecoanapa,3516171,64,-98.75,16.52,85.53,2,6.78
217,Tuatapere,2180815,83,167.68,-46.13,39,43,3
218,Half Moon Bay,5354943,82,-122.43,37.46,65.59,20,6.93
219,Kitimat,5993072,64,-128.65,54.05,64,82,1.99
220,Khani,610864,94,42.96,41.96,69.8,75,2.24
221,Sørland,3137469,84,12.69,67.67,53.49,85,13.04
222,Torbay,6167817,88,-52.73,47.67,70.88,90,12.75
223,Novopskov,699311,92,39.09,49.55,65.75,100,10
224,Pacific Grove,5380437,72,-121.92,36.62,60.49,90,13.87
225,Tasiilaq,3424607,81,-37.64,65.61,42.8,91,5.82
226,Carballo,3126369,82,-8.69,43.21,60.37,50,5.82
227,Nhulunbuy,2064735,65,136.77,-12.23,77,97,16.11
228,Visnes,3131500,100,5.22,59.36,55.45,90,8.05
230,Isfana,1222662,53,69.53,39.84,77,44,15.66
232,Bathsheba,3374083,74,-59.52,13.22,82.4,40,14.99
233,Kautokeino,779330,85,23.04,69.01,46.09,9,7.78
234,East London,1006984,42,27.91,-33.02,58.59,7,25.57
235,Orodara,2577164,94,-4.93,10.95,75.2,85,3.47
236,Mukhen,2019718,87,136.1,48.1,71.82,40,3.89
237,São José da Coroa Grande,3388456,82,-35.15,-8.9,74.66,20,4.54
238,Itarema,3393692,72,-39.92,-2.92,76.69,62,11.1
239,Maceió,3395981,83,-35.74,-9.67,75.2,40,4.7
240,Victoria Point,2145214,59,153.3,-27.58,56.73,0,8.99
241,Galveston,4692856,70,-94.97,29.37,89.71,1,14.99
242,Tucupita,3625929,96,-62.05,9.06,76.14,100,3.56
243,Awjilah,88533,65,21.29,29.11,75.47,0,8.55
244,Airai,1651810,68,125.41,-8.93,62.4,39,5.35
245,Kruisfontein,986717,60,24.73,-34,47.41,62,14.07
246,Yelan',468063,64,43.74,50.95,72,52,15.99
247,Santa Cruz Cabrália,3450288,83,-39.02,-16.28,75.2,75,3.36
248,Monastyrshchina,525426,94,31.84,54.35,50.45,84,8.21
249,Lingyuan,2036075,59,119.4,41.24,76.75,79,9.64
250,Port Said,358619,78,32.28,31.26,78.8,0,9.17
251,Marawi,1701054,88,124.29,8,77,84,5.99
252,Heishan,2036959,66,122.11,41.69,77.81,93,4.9
253,Banfora,2362909,87,-4.77,10.63,74.59,39,3.18
254,Oktyabr'skiy,515879,83,53.47,54.48,68.05,14,6.17
255,Clyde River,5924351,58,-68.59,70.47,55.4,75,8.05
256,Mandera,187896,61,41.87,3.94,78.51,48,17.2
257,Kahului,5847411,40,-156.47,20.89,82.35,40,19.46
258,Anadyr,2127202,87,177.48,64.75,51.35,40,15.66
259,Norman Wells,6089245,40,-126.83,65.28,73.4,75,4.7
261,Dubno,709540,98,25.73,50.42,55,16,6.51
262,Fortuna,5563839,72,-124.16,40.6,64.44,1,17.22
263,Tripoli,2210247,66,13.19,32.88,76.84,0,8.37
264,Vicuña,3868308,49,-70.71,-30.03,61,0,5.5
265,Pativilca,3932687,89,-77.78,-10.7,60.37,14,6.04
266,Rāvar,118704,29,56.81,31.27,76.21,42,0.47
267,Gornopravdinsk,1506268,81,69.9,60.05,56.61,33,3.49
268,Mackay,2159220,58,149.2,-21.15,57.92,16,9.17
269,Maningrida,2067089,49,134.27,-12.07,71.89,27,15.48
270,Port-Cartier,6111696,63,-66.87,50.03,63.36,75,9.17
271,Berlevåg,780687,88,29.09,70.86,45.3,27,3.22
272,Athabasca,5887916,69,-113.29,54.72,63.07,100,14.5
274,Susanville,5572400,8,-120.65,40.42,90.54,1,13.87
275,Tayu,1624545,76,111.05,-6.54,78.26,0,9.06
276,Xinzhou,1788450,66,112.73,38.41,72.19,75,0.47
278,Faanui,4034551,80,-151.75,-16.48,78.69,100,14.74
279,Chui,3443061,74,-53.46,-33.7,38.62,1,9.75
280,Abomey,2395915,94,1.99,7.18,70.86,85,8.41
281,Naze,1855540,89,129.48,28.37,84.2,75,12.75
283,Ponta do Sol,2264557,64,-17.1,32.67,67.59,20,11.41
284,Zhezkazgan,1516589,38,67.71,47.8,71.71,0,14.58
285,Domoni,921906,74,44.53,-12.26,73.54,5,6.96
286,Marion,4260977,45,-86.16,39.77,80.06,40,10.29
287,Flin Flon,5954718,40,-101.86,54.77,73.4,40,9.17
288,São Gonçalo,6322065,64,-43.04,-22.82,76.33,35,6.93
289,Pitimbu,3391889,88,-34.81,-7.47,75.2,46,4.7
290,Vanimo,2084442,67,141.3,-2.67,83.41,74,4.7
292,Dwārka,1272140,82,68.97,22.24,83.32,98,12.86
293,Abhā,110690,56,42.51,18.22,70.65,52,6.93
294,Hvide Sande,2619537,80,8.13,56,60.01,82,1.99
295,Port Blair,1259385,79,92.75,11.67,81.21,100,10.92
296,Hohhot,2036892,77,111.65,40.81,66.2,67,4.47
297,Daru,2098329,86,143.21,-9.08,79.02,86,16.96
298,Salalah,286621,100,54.09,17.02,80.6,90,6.93
299,Ancud,3899695,86,-73.82,-41.87,39.2,40,2.24
301,College,5859699,72,-147.8,64.86,60.57,75,8.05
302,Dingle,1714733,81,122.67,11,81.12,100,0.49
303,Banjar,1650232,100,114.97,-8.19,80.6,75,12.75
304,Sitka,5557293,76,-135.33,57.05,57.2,90,11.41
305,Gemena,2315728,96,19.77,3.25,69.69,100,0.87
307,Roald,3141667,87,6.13,62.58,54.07,100,12.75
308,Baruun-Urt,2032614,62,113.28,46.68,70.5,100,2.59
309,Kitob,1216787,28,66.83,39.08,77.63,0,4.94
310,Mazagão,3395042,89,-51.29,-0.12,84.2,22,9.17
311,Arraial do Cabo,3471451,77,-42.03,-22.97,69.8,0,3.36
312,Benghazi,88319,81,20.07,32.12,77.4,0,11.86
313,Nan,1608451,100,100.67,18.83,73.4,75,0.34
314,Yumen,1528998,47,97.2,40.28,68.63,46,10.56
315,Korla,1529376,52,86.15,41.76,77,49,1.99
316,Mitsamiouli,921786,70,43.28,-11.38,77.14,17,5.75
317,Jumla,1283285,70,82.18,29.27,61.34,90,0.25
318,Matara,1235846,88,80.54,5.95,79.86,78,8.9
319,Mahébourg,934322,88,57.7,-20.41,69.8,40,5.82
320,Fare,4034496,80,-151.02,-16.7,79.16,88,11.03
321,Isla Aguada,3526766,55,-91.47,18.78,91.4,20,10.29
322,Xai-Xai,1024552,45,33.64,-25.05,61.57,0,12.39
323,Dali,1814093,87,100.18,25.7,63.75,100,3.89
324,Iqaluit,5983720,34,-68.51,63.75,64.4,20,14.99
325,Conceição da Barra,3465769,86,-39.73,-18.59,72.86,9,7.74
326,Kinghorn,2645500,81,-3.18,56.07,52.57,75,9.17
327,Mossamedes,3347019,82,12.15,-15.2,61.47,0,1.72
328,Vuktyl,470905,77,57.31,63.86,50.58,18,3.09
329,Teahupoo,4033543,74,-149.27,-17.83,82.18,90,17.22
330,Kucura,3187297,76,19.58,45.52,54.99,0,4.7
331,Tual,1623197,83,132.75,-5.67,79.25,54,20.42
334,Port Elizabeth,964420,50,25.57,-33.92,55.4,50,14.99
335,Rochester,5134086,56,-77.62,43.15,73.53,40,9.17
336,Coyhaique,3894426,80,-72.07,-45.58,33.8,20,4.9
338,Lorengau,2092164,71,147.27,-2.02,83.44,77,5.7
339,Jacareacanga,3397763,82,-57.75,-6.22,74.14,28,1.57
340,Cuamba,1047660,93,36.54,-14.8,57.43,1,1.86
341,Sur,286245,70,59.53,22.57,83.5,0,12.01
342,Jutaí,3663693,90,-68.9,-5.18,74.88,99,2.33
343,Gari,1506676,76,62.35,59.43,58.26,45,5.28
344,Kloulklubed,7671223,83,134.26,7.04,82.4,75,9.17
345,Yellowknife,6185377,100,-114.35,62.46,59,90,16.11
347,Beira,1052373,77,34.84,-19.84,60.46,0,5.86
348,Tezu,1254709,70,96.17,27.92,79.5,100,1.77
349,Bagdarin,2027244,79,113.6,54.43,67.46,34,1.03
350,Bogorodskoye,575521,94,37.88,56.55,56.37,96,7.11
351,Itoman,1861280,84,127.67,26.12,85.53,20,9.17
352,Horishni Plavni,6559559,85,33.65,49.01,57.67,100,12.91
353,Ngama,2427036,61,17.17,11.78,83.08,71,4.7
354,Flinders,6255012,82,150.86,-34.58,55.17,100,11.99
355,Husavik,2629833,87,-17.34,66.04,51.8,90,8.05
356,Dunedin,2191562,68,170.5,-45.87,46.99,49,1.99
357,Kaeo,2189343,3,173.78,-35.1,59,96,3
359,Phan Thiet,1571058,83,108.1,10.93,78.58,100,6.42
360,Dolores,3435038,77,-57.68,-36.31,36.68,0,8.99
361,Japura,1642773,97,102.35,-0.32,71.69,100,3.11
362,Zyryanka,2119283,37,150.85,65.75,74.39,61,3.71
364,Bam,141736,26,58.36,29.11,85.68,93,2.01
366,Meulaboh,1214488,84,96.13,4.14,76.6,93,4.83
367,Bambous Virieux,1106677,88,57.76,-20.34,70.38,40,5.82
368,Seydi,1218420,18,62.91,39.48,78.39,0,8.46
369,Coquimbo,3893629,87,-71.34,-29.95,51.8,33,3.36
370,Riyadh,108410,16,46.72,24.69,95,0,4.7
371,Puerto Carreño,3671519,83,-67.49,6.19,80.6,40,8.05
372,Creel,4012593,53,-107.63,27.75,73.74,47,9.69
373,Port Hedland,2063042,33,118.57,-20.32,59,52,9.17
374,Warrnambool,2144528,93,142.48,-38.38,52,1,7.05
375,Zyryanovsk,1516438,86,84.27,49.74,60.35,92,1.36
376,Port Lincoln,2063036,78,135.87,-34.73,54.68,0,9.69
377,Cabadiangan,1722028,76,122.47,9.75,82.17,100,5.5
378,Seddon,7281807,81,144.89,-37.81,51.3,75,11.41
379,Aranos,3358666,61,19.12,-24.13,41.54,0,8.99
380,Beloha,1067565,93,45.05,-25.17,58.6,0,2.39
381,Malakal,370737,89,31.66,9.53,73.06,41,0.56
382,Whitehorse,6180550,39,-135.05,60.72,62.69,75,8.05
383,Itiúba,3460548,76,-39.85,-10.69,68.63,72,6.55
384,Qasigiannguit,3420768,70,-51.19,68.82,46.4,100,2.62
385,Gondanglegi,1640660,83,112.01,-7.75,76.82,0,8.7
386,Chara,2025630,62,118.26,56.91,70.99,45,1.9
387,San Jose,5392171,44,-121.89,37.34,78.91,20,13.87
389,Champerico,3598787,78,-91.92,14.3,80.6,75,6.93
390,Ranau,1733502,94,116.66,5.95,77,20,3.36
391,Richards Bay,962367,36,32.04,-28.78,59.97,0,7.99
393,Krasnovishersk,542184,71,57.08,60.41,59.52,84,3.47
394,Calabozo,3647444,88,-67.43,8.92,77.52,37,4.99
395,Nouadhibou,2377457,88,-17.03,20.93,69.8,0,19.46
396,San Miguel de Tucumán,3836873,58,-65.22,-26.82,57.2,0,3.36
397,Christchurch,2192362,87,172.63,-43.53,42.91,0,3.36
398,Byron Bay,2172880,58,153.62,-28.65,54.21,6,18.34
399,Jalu,86049,59,21.55,29.03,76.32,0,9.44
400,Pori,640999,93,21.78,61.48,50,20,4.7
401,Zhigansk,2012530,65,123.37,66.77,66.4,1,0.47
402,New Amsterdam,3376762,92,-57.52,6.25,75.83,2,2.73
403,Ranong,1150965,94,98.63,9.97,75.2,75,0.4
404,Deputatsky,2028164,97,139.9,69.3,51.1,100,6.17
405,Cañon City,5416005,45,-105.24,38.44,79.66,44,1.99
406,Luangwa,909887,82,30.42,-15.62,56.21,0,1.61
407,Syracuse,2523082,83,15.28,37.09,73.94,3,6.93
409,San Ignacio,3581194,88,-89.07,17.16,82.69,20,7.38
410,Kiryat Gat,293842,84,34.76,31.61,72.7,0,1.92
411,Russell,4047434,52,-85.2,32.35,90.1,1,4.7
412,Antsohihy,1068971,84,47.99,-14.88,64.15,25,2.21
413,Taoudenni,2450173,16,-3.98,22.68,99.5,22,6.49
414,Tigil',2120612,57,158.67,57.8,69.46,75,5.01
415,Zhangjiakou,2033196,64,114.88,40.81,70.23,62,2.91
416,Fort Nelson,5955902,38,-122.7,58.81,73.4,75,17.22
417,Kashgar,1280849,46,75.98,39.45,69.8,20,2.24
418,Kostanay,1519928,63,63.58,53.17,66.2,0,2.24
419,Paulo Ramos,3392731,86,-45.18,-4.22,74.66,69,4.27
420,Blagoyevo,576093,91,47.92,63.37,56.07,100,5.32
421,Aquiraz,3407407,74,-38.39,-3.9,78.8,57,5.82
422,The Pas,6164499,46,-101.25,53.83,73.4,1,8.05
423,Bengkulu,1649150,86,102.27,-3.8,75.74,97,3.94
424,Sobolevo,525426,94,31.9,54.43,50.52,83,8.23
425,Korem,332746,75,39.52,12.51,59.41,65,7.63
426,Dombarovskiy,565407,62,59.54,50.76,70.9,73,9.95
427,Honningsvåg,779554,87,25.97,70.98,46.11,17,8.61
428,Kiunga,2093846,92,141.29,-6.12,76.98,94,3.36
429,Ballina,2177069,58,153.57,-28.87,54.99,6,18.34
430,Saint-Pierre,935214,68,55.48,-21.34,61.77,3,8.05
431,Grajaú,3398856,45,-46.14,-5.82,82.8,99,1.41
432,Beşikdüzü,750735,69,39.23,41.05,75.2,75,5.82
434,Rome,5134295,64,-75.46,43.21,74.55,40,8.05
435,Taperoá,3386693,76,-36.83,-7.21,68.4,24,12.01
437,Jinchang,1805733,44,102.17,38.5,72.57,18,2.62
438,Terre Haute,4265737,54,-87.41,39.47,78.98,1,5.82
439,Port-Gentil,2396518,88,8.78,-0.72,75.2,90,14.41
440,Visby,2662689,93,18.3,57.64,51.48,34,3.36
441,Prattville,4084796,52,-86.46,32.46,89.19,1,1.86
442,Puerto Peñasco,3991347,81,-113.53,31.32,87.01,28,13
443,Chernyshevskiy,2025456,57,112.47,63.01,69.94,48,3.36
444,Kabo,2386042,97,18.63,7.7,70.38,92,4.81
445,Trojes,783493,77,19.96,41.76,64.4,76,2.24
446,Palu,1633034,75,119.87,-0.89,79.47,88,2.89
447,Āsind,1278278,69,74.33,25.73,82.71,44,12.1
448,Poya,2138522,61,165.15,-21.35,76.19,100,7.38
449,Katherine,2068655,23,132.27,-14.47,60.8,35,12.75
450,Hamilton,4513583,48,-84.53,39.18,81.77,75,9.17
451,Assiut,359783,37,31.18,27.18,82.4,1,11.41
452,Yenagoa,2318123,91,6.26,4.92,74.84,100,5.73
453,Oxapampa,3933874,90,-75.4,-10.58,58.96,39,1.88
455,Fort Walton Beach,4156042,94,-86.62,30.41,84.76,1,4.7
456,Slave Lake,6149374,67,-114.77,55.28,62.6,20,25.28
457,Vila,7117100,40,-8.16,42.03,66.9,29,10.29
458,Asău,686090,87,26.4,46.43,51.01,6,3.6
459,Trelew,3833883,74,-65.31,-43.25,37.26,0,12.68
460,Nova Olinda do Norte,3393838,84,-59.09,-3.89,76.6,26,1.88
461,St. Pete Beach,4171522,74,-82.74,27.73,87.3,20,10.29
462,Morón,3430545,48,-58.62,-34.65,44.91,0,3
463,Pangnirtung,6096551,76,-65.71,66.15,51.8,75,5.82
464,Tak,1150489,94,98.83,16.58,75.2,75,2.82
465,Haikou,1809078,94,110.34,20.05,78.8,0,4.47
466,Kununurra,2068110,27,128.73,-15.77,62.6,0,8.05
467,Soe,1626703,81,124.28,-9.86,67.48,18,8.16
