,City,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
220,Petropavlovsk-Kamchatskiy,53.05,158.65,51.8,100,31,2.24,RU,1595091560
221,Uva,56.99,52.19,71.01,71,100,1.01,RU,1595091560
222,Pasni,25.26,63.47,87.51,81,2,14.07,PK,1595091560
223,Vryburg,-26.96,24.73,46.09,55,0,1.63,ZA,1595091560
224,Bambous Virieux,-20.34,57.76,69.8,68,40,14.99,MU,1595091560
225,Severo-Kuril'sk,50.68,156.12,48.4,89,55,10.65,RU,1595091560
227,Matamoros,25.53,-103.25,82.99,45,20,4.7,MX,1595091406
228,Minsk,53.9,27.57,77,36,27,4.47,BY,1595091289
230,Bhag,29.04,67.82,109.42,21,0,10.27,PK,1595091561
231,Valença,-13.37,-39.07,79.16,59,23,9.95,BR,1595091419
232,Rognan,67.1,15.39,62.01,71,43,1.86,NO,1595091561
233,Dingle,11,122.67,77.29,87,97,5.17,PH,1595091562
234,Ichinohe,40.21,141.3,64.4,100,90,3.36,JP,1595091562
235,Aklavik,68.22,-135.01,44.6,100,90,9.17,CA,1595091562
236,Nushki,29.55,66.02,89.4,30,38,1.48,PK,1595091562
237,Chokurdakh,70.63,147.92,43.34,69,0,11.65,RU,1595091562
239,Bada,51.39,109.87,47.5,89,39,4.59,RU,1595091563
240,High Prairie,55.43,-116.49,61.92,70,34,7.27,CA,1595091563
241,Geraldton,-28.77,114.6,48.2,93,90,6.93,AU,1595091563
242,Upernavik,72.79,-56.15,49.28,52,2,5.55,GL,1595091563
243,Fairbanks,64.84,-147.72,57.2,93,90,8.05,US,1595091563
244,Kavaratti,10.57,72.64,82.56,78,78,18.81,IN,1595091564
245,Aljezur,37.32,-8.8,78.01,83,0,8.7,PT,1595091564
246,Port Elizabeth,-33.92,25.57,62.6,42,0,10.29,ZA,1595091304
247,Nishihara,26.18,127.76,82.4,83,40,9.17,JP,1595091564
248,Prachuap Khiri Khan,11.82,99.78,81,82,42,5.93,TH,1595091564
250,Morón,-34.65,-58.62,60.01,100,90,2.24,AR,1595091565
251,Booué,-0.09,11.94,76.41,88,77,2.62,GA,1595091565
252,St. George's,12.06,-61.75,86,74,75,18.34,GD,1595091565
253,Hella,67.2,14.43,62.6,63,20,11.41,NO,1595091565
254,Sulangan,11.14,123.72,83.37,75,100,11.5,PH,1595091565
255,Kranuan,16.71,103.08,86,74,91,6.93,TH,1595091566
256,Labuan,5.28,115.24,78.8,94,20,2.24,MY,1595091566
257,Pimentel,-6.84,-79.93,69.8,68,90,6.93,PE,1595091566
258,Cockburn Town,21.46,-71.14,83.16,76,6,14.58,TC,1595091566
259,George Town,5.41,100.34,78.8,94,40,3.36,MY,1595091322
260,Leningradskiy,69.38,178.42,36.28,86,99,12.57,RU,1595091567
261,Žitište,45.48,20.55,69.8,64,75,8.05,RS,1595091567
262,Khatanga,71.97,102.5,45.64,84,99,4.7,RU,1595091567
263,Xining,36.62,101.77,49.77,78,9,3,CN,1595091567
264,Port Hardy,50.7,-127.42,57.2,87,90,8.05,CA,1595091567
265,Iqaluit,63.75,-68.51,46.4,93,90,13.87,CA,1595091568
267,Maracaçumé,-2.04,-45.96,85.55,64,35,5.26,BR,1595091568
268,Shenjiamen,29.96,122.3,77.95,92,93,21.99,CN,1595091568
269,Lompoc,34.64,-120.46,63,77,5,3.36,US,1595091568
271,Necochea,-38.55,-58.74,60.01,76,100,5.99,AR,1595091536
272,San Rafael,-34.62,-68.33,61.72,31,49,1.39,AR,1595091272
273,Anadyr,64.75,177.48,51.8,71,7,20.13,RU,1595091569
275,Bagé,-31.33,-54.11,84.2,45,0,19.46,BR,1595091569
276,Beyneu,45.32,55.2,95.59,12,94,6.06,KZ,1595091569
277,Vangaindrano,-23.35,47.6,65.77,81,54,5.48,MG,1595091570
278,The Valley,18.22,-63.06,87.8,58,20,12.75,AI,1595091502
279,Pacific Grove,36.62,-121.92,60.8,82,90,3.87,US,1595091293
280,Saint-Joseph,-21.37,55.62,66.99,77,40,9.17,RE,1595091570
281,Vila Franca do Campo,37.72,-25.43,73.4,64,75,11.41,PT,1595091570
282,North Bend,43.41,-124.22,63,77,1,9.17,US,1595091570
284,Sindhnūr,15.78,76.77,78.48,81,92,16.46,IN,1595091547
285,Kloulklubed,7.04,134.26,77,94,75,5.19,PW,1595091571
286,Kyshtovka,56.55,76.63,66.4,85,78,5.73,RU,1595091571
287,Örnsköldsvik,63.29,18.72,69.8,64,78,10.29,SE,1595091493
288,Gusau,12.16,6.66,80.28,69,99,3.65,NG,1595091571
289,Acapulco de Juárez,16.86,-99.89,86,66,5,8.05,MX,1595091572
290,Santa Cruz do Sul,-29.72,-52.43,83.68,57,0,3.76,BR,1595091454
292,Port Augusta,-32.5,137.77,46.4,93,23,8.05,AU,1595091572
293,Mangan,27.52,88.53,76.71,58,100,1.61,IN,1595091572
294,Zhigansk,66.77,123.37,54.75,91,66,6.73,RU,1595091573
296,Husavik,66.04,-17.34,44.6,75,75,20.8,IS,1595091573
298,Alekseyevsk,57.84,108.35,44.65,90,15,1.86,RU,1595091573
299,Provideniya,64.38,-173.3,45.37,83,96,4.97,RU,1595091573
300,Noumea,-22.28,166.46,68,87,13,4.7,NC,1595091342
301,Ibotirama,-12.19,-43.22,88.11,28,1,7.78,BR,1595091574
302,Kamariótissa,40.48,25.47,84.2,35,20,5.82,GR,1595091574
303,Verkhnevilyuysk,63.45,120.32,53.38,93,28,4.32,RU,1595091574
304,Ixtapa,20.7,-105.2,88,66,40,2.71,MX,1595091574
305,Clyde River,70.47,-68.59,42.8,87,75,14.99,CA,1595091574
306,Olinda,-8.01,-34.86,82.4,61,40,18.34,BR,1595091575
307,Chapais,49.78,-74.85,75.2,50,75,4.7,CA,1595091575
308,Mbaïki,3.87,17.99,73.81,92,34,2.75,CF,1595091575
309,Viedma,-40.81,-63,63.12,38,12,13.96,AR,1595091575
311,Tignère,7.37,12.65,67.68,96,99,3.89,CM,1595091575
312,Kumul,42.8,93.45,85.95,13,13,8.61,CN,1595091576
313,Gamba,-2.65,10,73.35,79,0,9.01,GA,1595091576
314,Lotofaga,-13.98,-171.86,80.87,79,6,20.92,WS,1595091576
315,Kununurra,-15.77,128.73,57.2,32,41,4.23,AU,1595091576
316,Bengkulu,-3.8,102.27,76.28,91,100,4.94,ID,1595091577
317,San Ramon,37.78,-121.98,73,60,1,4.7,US,1595091516
318,Yichun,47.7,128.9,66.09,95,3,1.81,CN,1595091577
319,Vostok,46.49,135.88,63.28,83,0,2.89,RU,1595091577
320,Fortuna,40.6,-124.16,64,82,1,6.93,US,1595091577
321,Port Blair,11.67,92.75,82.27,78,1,6.67,IN,1595091416
322,Comodoro Rivadavia,-45.87,-67.5,41,80,40,5.82,AR,1595091577
323,Aksu,41.12,80.26,76.33,38,96,6.17,CN,1595091578
324,Kavieng,-2.57,150.8,81.5,76,100,8.3,PG,1595091578
325,Goderich,43.75,-81.72,86,63,11,11.68,CA,1595091578
326,Coquimbo,-29.95,-71.34,57.2,67,100,11.41,CL,1595091578
327,Los Llanos de Aridane,28.66,-17.92,77,78,20,12.75,ES,1595091578
328,Sørland,67.67,12.69,54.84,85,2,8.52,NO,1595091578
329,Banda Aceh,5.56,95.32,80.4,79,58,4.7,ID,1595091579
330,Algiers,36.75,3.04,82.4,54,0,18.34,DZ,1595091579
331,Najrān,17.49,44.13,95,15,40,5.82,SA,1595091579
332,Vardø,70.37,31.11,50.45,89,100,10.6,NO,1595091579
333,Kieta,-6.22,155.63,78.06,80,100,2.64,PG,1595091580
334,Oktyabr'skiy,54.48,53.47,66.49,93,100,9.33,RU,1595091580
335,Yershichi,53.67,32.75,64.81,79,0,5.03,RU,1595091580
336,Khovu-Aksy,51.13,93.6,54.21,67,19,2.44,RU,1595091580
337,Saint Simons,31.14,-81.39,89.6,66,20,8.05,US,1595091580
338,Caucayá,-0.19,-74.78,81.27,84,71,1.45,CO,1595091581
339,Artyom,40.47,50.33,80.6,69,0,6.93,AZ,1595091581
340,São João da Barra,-21.64,-41.05,78.8,47,75,6.93,BR,1595091581
342,Northam,51.03,-4.22,66.99,88,90,8.01,GB,1595091581
343,Luba,3.46,8.55,82.4,78,20,11.41,GQ,1595091582
344,Cidreira,-30.18,-50.21,72.48,70,28,10.29,BR,1595091582
346,Bela,25.93,81.98,92.64,58,73,3.31,IN,1595091582
347,Shenzhen,22.55,114.07,86,90,100,10.87,CN,1595091431
349,Sarankhola,22.31,89.79,82.15,87,100,8.41,BD,1595091583
350,Pevek,69.7,170.31,42.01,72,12,2.59,RU,1595091583
351,Airai,-8.93,125.41,55.74,54,90,2.48,TL,1595091583
352,Fairview,40.81,-74,91,38,1,2.73,US,1595091441
353,Blagoyevo,63.37,47.92,65.44,72,23,4.56,RU,1595091583
354,Manokwari,-0.87,134.08,78.96,76,92,3.04,ID,1595091583
355,Leeuwarden,53.2,5.81,75,73,90,9.17,NL,1595091584
356,Tiznit Province,29.58,-9.5,92.88,17,0,9.86,MA,1595091584
357,Nālūt,30.33,10.85,102.16,13,34,10.04,LY,1595091584
358,Altamont,42.21,-121.74,78.01,40,1,3.36,US,1595091584
359,Vao,-22.67,167.48,69.31,73,10,14.88,NC,1595091585
360,Zabid,14.2,43.32,91.27,47,100,12.33,YE,1595091585
362,Québec,46.81,-71.21,82,65,20,12.75,CA,1595091493
364,Loudi,27.73,111.99,80.15,80,89,3.74,CN,1595091585
365,Longyearbyen,78.22,15.64,50,61,75,16.11,SJ,1595091585
366,Peniche,39.36,-9.38,75.99,83,0,8.01,PT,1595091585
367,Adrar,20.5,-10.07,105.22,14,49,3.27,MR,1595091586
368,Zinder,13.81,8.99,87.8,52,100,6.93,NE,1595091586
370,Hasaki,35.73,140.83,70,100,75,3.36,JP,1595091587
371,Okhotsk,59.38,143.3,55.26,94,98,0.92,RU,1595091587
372,Beroroha,-21.67,45.17,65.66,56,0,7.92,MG,1595091587
374,Bara,10.37,10.73,84.4,64,72,3.78,NG,1595091587
375,Churapcha,62,132.43,66.13,95,71,8.12,RU,1595091587
376,São Filipe,14.9,-24.5,76.44,73,24,11.92,CV,1595091588
377,Almaznyy,48.04,40.05,73.4,64,37,8.95,RU,1595091588
378,Sabha,27.04,14.43,105.62,11,3,7.14,LY,1595091588
379,Asilah,35.47,-6.03,86,51,0,13.87,MA,1595091589
380,Jadu,31.95,12.03,80.29,47,0,17.36,LY,1595091589
381,Voh,-20.97,164.7,61.29,75,1,3.04,NC,1595091589
382,Margate,51.38,1.39,79,52,68,1.01,GB,1595091589
383,Tazmalt,36.39,4.4,78.8,65,20,6.93,DZ,1595091590
384,Millinocket,45.66,-68.71,80.6,61,1,4.7,US,1595091590
385,Forsytheganj,52.63,29.73,66.88,72,0,5.57,BY,1595091590
386,‘Āhuimanu,21.44,-157.84,78.01,78,75,3.36,US,1595091590
387,Dumas,35.87,-101.97,96.01,33,1,16.11,US,1595091590
388,Mikhaylovka,50.06,43.24,68,68,77,8.01,RU,1595091590
389,Biloela,-24.42,150.5,48.22,87,0,1.61,AU,1595091591
390,Evensk,61.95,159.23,50.9,76,87,8.7,RU,1595091591
391,Marzuq,14.4,46.47,89.53,32,99,5.19,YE,1595091591
392,Bondoukou,8.03,-2.8,79.97,74,40,6.22,CI,1595091591
393,Eureka,40.8,-124.16,64.99,100,0,3.33,US,1595091591
394,Ust-Tsilma,65.44,52.15,62.71,86,3,3.89,RU,1595091591
395,Ust'-Tarka,55.57,75.7,67.01,84,58,6.85,RU,1595091592
396,Mount Isa,-20.73,139.5,42.8,41,0,9.24,AU,1595091592
397,Moose Factory,51.26,-80.61,80.6,54,1,8.05,CA,1595091592
398,Bestöbe,52.5,73.1,79.45,48,97,12.03,KZ,1595091592
399,Assiut,27.18,31.18,91.4,31,0,13.87,EG,1595091593
400,Morondava,-20.28,44.28,75.16,54,83,8.86,MG,1595091593
401,Ola,59.58,151.28,51.35,73,47,6.02,RU,1595091593
402,Ojinaga,29.57,-104.42,95,30,1,4.7,MX,1595091593
403,Sémbé,1.65,14.58,74.62,89,76,1.23,CG,1595091593
404,Aykhal,66,111.5,55.4,82,90,4.47,RU,1595091593
405,Varhaug,58.61,5.65,54,99,100,3.2,NO,1595091594
406,Humboldt,40.67,-123.92,64,82,1,6.93,US,1595091594
407,Tazovsky,67.47,78.7,51.98,71,100,4.27,RU,1595091594
408,Caravelas,-17.71,-39.25,76.86,53,77,7.43,BR,1595091567
